channel group,DateHour,Users,Sessions,Engaged Sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Hour
Direct,2024-04-16 23:00:00,237,300,144,47.526666666666706,0.607594936708861,4.67333333333333,0.48,1402,23
Organic Social,2024-04-17 19:00:00,208,267,132,32.0973782771536,0.634615384615385,4.29588014981273,0.49438202247191,1147,19
Direct,2024-04-17 23:00:00,188,233,115,39.9399141630901,0.611702127659574,4.58798283261803,0.493562231759657,1069,23
Organic Social,2024-04-17 18:00:00,187,256,125,32.16015625,0.668449197860963,4.078125,0.48828125,1044,18
Organic Social,2024-04-17 20:00:00,175,221,112,46.9185520361991,0.64,4.52941176470588,0.506787330316742,1001,20
Organic Social,2024-04-17 21:00:00,160,206,103,59.3155339805825,0.64375,4.69417475728155,0.5,967,21
Organic Social,2024-05-01 19:00:00,160,219,110,40.3150684931507,0.6875,4.63013698630137,0.502283105022831,1014,19
Direct,2024-04-16 22:00:00,158,192,94,39.02083333333329,0.594936708860759,4.05729166666667,0.489583333333333,779,22
Organic Social,2024-04-13 21:00:00,152,178,96,30.4887640449438,0.631578947368421,5.0561797752809,0.539325842696629,900,21
Organic Social,2024-04-15 16:00:00,151,211,93,64.1658767772512,0.615894039735099,4.3175355450237,0.440758293838863,911,16
Organic Social,2024-05-03 22:00:00,151,196,125,13.6836734693878,0.827814569536424,4.67857142857143,0.637755102040816,917,22
Organic Social,2024-05-03 21:00:00,150,188,120,15.4893617021277,0.8,4.57978723404255,0.638297872340426,861,21
Organic Social,2024-04-26 20:00:00,146,184,110,32.6304347826087,0.753424657534247,4.8804347826087,0.597826086956522,898,20
Organic Social,2024-04-17 00:00:00,140,191,81,20.9109947643979,0.578571428571429,3.84293193717278,0.424083769633508,734,0
Organic Social,2024-04-26 21:00:00,140,199,82,13.7587939698492,0.585714285714286,4.04020100502513,0.412060301507538,804,21
Organic Social,2024-04-17 11:00:00,139,150,88,45.0,0.633093525179856,5.62666666666667,0.586666666666667,844,11
Organic Social,2024-04-15 15:00:00,136,198,90,43.7878787878788,0.661764705882353,4.84343434343434,0.454545454545455,959,15
Organic Social,2024-04-25 17:00:00,135,176,88,38.6875,0.651851851851852,4.1875,0.5,737,17
Organic Social,2024-04-19 16:00:00,134,179,81,33.195530726257,0.604477611940299,4.09497206703911,0.452513966480447,733,16
